ID_genome_file,OptTemperature_oldworld,q25total_12C_oldworld,q25total_15C_oldworld,q25total_18C_oldworld,q25total_22C_oldworld,q25total_25C_oldworld,q50total_12C_oldworld,q50total_15C_oldworld,q50total_18C_oldworld,q50total_22C_oldworld,q50total_25C_oldworld,q75total_12C_oldworld,q75total_15C_oldworld,q75total_18C_oldworld,q75total_22C_oldworld,q75total_25C_oldworld,day2_12C_oldworld,day2_15C_oldworld,day2_18C_oldworld,day2_22C_oldworld,day2_25C_oldworld,day4_12C_oldworld,day4_15C_oldworld,day4_18C_oldworld,day4_22C_oldworld,day4_25C_oldworld,day6_12C_oldworld,day6_15C_oldworld,day6_18C_oldworld,day6_22C_oldworld,day6_25C_oldworld,Tempsens12C_oldworld,Tempsens15C_oldworld,Tempsens18C_oldworld,Tempsens22C_oldworld,Tempsens25C_oldworld,inflection_12C_oldworld,inflection_15C_oldworld,inflection_18C_oldworld,inflection_22C_oldworld,inflection_25C_oldworld,asymptote_12C_oldworld,asymptote_15C_oldworld,asymptote_18C_oldworld,asymptote_22C_oldworld,asymptote_25C_oldworld,growthrate_12C_oldworld,growthrate_15C_oldworld,growthrate_18C_oldworld,growthrate_22C_oldworld,growthrate_25C_oldworld,eAUC12C_oldworld,eAUC15C_oldworld,eAUC18C_oldworld,eAUC22C_oldworld,eAUC25C_oldworld
Algeria_1992_ALA2a,19.9,126.546709438196,38.3789480253584,37.3380133490733,37.6728331867582,38.6816037175367,97.7551978087272,70.2104723625627,69.7598210691603,69.6568502426723,68.8067096272258,32.2736911759818,111.582905682281,107.216253507852,107.426645895365,110.443780882748,0.255926098071507,1.16553432017777,1.27037261550282,1.64376084032725,1.1615078961068,0.248898810837303,3.55109956940096,4.29520483319134,4.45494823781212,3.0091709088866,0.2255749618039,5.07006165137842,5.33082653581296,5.42061644134145,3.82698384023351,0.0840962735318951,0.772620586514495,0.870945787444794,0.938827414576891,0.651989045028435,,83.4646490825189,70.861950945319,67.2595299765966,72.3445580443877,,5.71192734994357,5.47900770348432,5.65928051443171,4.17782016887824,,0.0371815285456116,0.0507245566324789,0.0441932108107829,0.0370793068654515,39.22580828622,360.380617734626,406.243357180901,437.906016894716,304.113324061872
Czech_Republic_2010_ST10CRI_117,19.8,79.9615090379946,12.1845108315616,40.0668826774351,36.0322458076781,38.257645591944,90.618286663877,62.3233553762651,63.1328353793858,63.6754596170753,64.2264095423695,141.265715637351,110.632815865549,108.68368479487,105.775029505453,107.181225413141,0.0570474684573175,0.562206148478478,0.697687905842653,1.04962188724123,0.601560923219179,0.0666574088129719,4.117271018472,6.09527295639902,6.13488572402709,3.11467825562273,0.153503499951128,8.5375235154288,11.1708615789186,12.005162937925,8.27400557486445,0.0244151941944818,0.658768969315065,0.907850854726681,0.953385982866178,0.555866907586712,,100.574715792912,94.3019436669665,102.44363597956,121.968997061872,,9.26626851860689,11.6345648094882,13.8120518840033,11.5977027300203,,0.0524958241163321,0.0548160701055676,0.041921787783897,0.0400486626754809,16.0184420042965,432.20842091801,595.627302783327,625.502216062763,364.695924609842
Czech_Republic_2010_ST10CRI_159,19.6,43.1066195237276,31.5383789234587,43.0397195481294,27.4691560112367,36.384772302912,47.0497273037918,,68.0223210985831,,,108.992225129331,105.066730417495,104.001411802939,113.337781002381,,0.219311191796222,0.651279784386633,0.789826039832819,2.08645004766664,0.96972506494489,0.240181085596202,1.74931851498869,4.63907708601,2.1433160677329,2.81404356463233,0.419139301901518,5.9394350748903,8.84307147696562,4.70517402974705,2.07783139997305,0.0870017031453181,0.599530701193508,1.09785890327818,0.778825368555141,0.591235344883631,,130.246743789038,100.179048510833,141.010718694202,54.6218616611167,,9.38735669847168,9.91796789489817,8.63546359903287,2.69547611460115,,0.0386304576800044,0.0455157998025033,0.0169281700079119,0.07357494336044,36.9976725648725,254.951797188346,466.867000960566,331.197263148864,251.424178010028
Czech_Republic_2010_ST10CRI_348,20.2,5.20827271182758,35.9247228787372,36.1612783912358,31.6658963824889,34.5040379127665,64.7504948086249,70.9953526096106,69.2816352333937,68.7371589454656,66.20227578482,106.677974797004,102.587761148106,102.133533881037,102.842326680468,,0.173654915860005,0.317927564698128,0.492039496410067,0.835144087992849,0.815306821897203,0.295143451948218,1.37703276894842,2.76736057522979,2.82081664999742,2.33536028741487,0.461890487538638,4.03233386460531,6.19061851108632,4.17827855959465,1.98953695286486,0.124855922051379,0.565614286930128,1.01425672052513,0.919352808551464,0.704050451323847,,152.969713501081,107.316674031569,78.7248320369695,56.8909065482868,,9.39186283436374,7.3467481076575,4.23170229308223,2.3451870451783,,0.0314223771323052,0.0441540700802907,0.0442425940762829,0.0706861478382891,37.4365391171494,169.592607462903,304.112618519976,275.656827600337,211.101018104578
Czech_Republic_2010_ST10CRI_354,18.6,34.0893283106127,0.201941113451246,10.2804568115147,39.9789644951318,29.8049544431624,64.8823832908845,70.1623496861721,70.0064610019527,69.6025306775567,83.6157468255433,108.762024810208,103.939487597455,101.756465983477,100.532248855357,,0.15752473659545,0.117776859011652,0.468944919011646,0.703475973652741,0.885702144130703,0.195722932747879,2.37182195259949,3.72446952649261,2.36869188250274,0.723223560624932,0.312156767392497,7.60620891450192,7.25735347651365,3.95782032404616,1.29336246484977,0.200512326990087,0.798452613883827,1.05216399660788,0.681184663058285,0.307688816717397,,110.863237306307,97.5086014798825,93.1381454805903,37.93871419486,,8.23475589044094,7.85336603615521,4.52566870459815,1.00192365341021,,0.0659480296562472,0.0514437942302026,0.0396605648528197,,72.7867895446841,289.841543612619,381.939806580457,247.272800906356,111.692290862343
Czech_Republic_2010_ST10CRI_421,19.5,37.4461186141682,42.7304205715567,40.1640190659635,39.4471092116267,39.8807803775827,80.0097206253883,65.812395383714,67.1165172747731,67.3640700105659,66.7445410343831,99.0271706324504,107.657563075616,105.743343694342,104.490841155497,107.358695640505,0.0878245424840036,0.200161889665818,0.314946736675003,0.319708559805984,0.277042159817471,0.141606292653588,1.75022997073411,2.16411530591188,1.72262514800414,1.31187200398625,0.549889329724497,3.14516435613913,4.10430426367501,3.08490814028369,2.3219068327452,0.13571898845965,0.775018159584581,1.00539862588285,0.785767783401107,0.615052728009017,,93.3421591753069,97.8520460757659,96.7284920792967,96.1876685456443,,3.24399398843938,4.49783201611771,3.42944510160398,2.61473695069077,,0.0567609396538885,0.0471024356886684,0.041378959966588,0.0417017397736036,29.6464206161783,169.294765640343,219.619014908237,171.642910676991,134.351958282568
Czech_Republic_2010_ST10CRI_44,20.6,54.3986154121596,41.4701467073946,32.3239590182497,36.9052582794888,38.6288979875056,73.3853311386524,73.2061505910879,73.7781910324636,72.5609010352293,72.2013529080245,105.197622805796,102.882710220017,110.635822034946,108.187954017642,104.016653213615,0.103948253443855,0.43248285716427,1.95671918888755,1.63199000402961,1.1053147645967,0.295302230332156,2.8720396601215,2.90906737365341,4.49170286163462,2.98972532551555,0.522098952164095,4.68513433327417,3.97411306360941,5.89781349773006,4.3040134986659,0.084530205807038,0.669155996667349,0.806753223684918,1.07329474628142,0.731226514435375,241.356819834283,90.4145158315358,53.6779459975511,70.9498445760344,76.5078419637792,3.00589143898592,4.93356667927995,3.802912683207,6.09160244990926,4.47212261841486,0.0154031357630379,0.0742768778457945,0.0432009721088447,0.0462672134911905,0.0403044464773439,35.2258784544483,278.854257843374,336.194508565755,447.269114245542,304.720615243383
Czech_Republic_2010_ST10CRI_469,19.6,,41.7148002027992,40.4592090769528,37.9371917969799,13.9312920238961,86.9542297149089,66.2662314168306,67.3766864219299,62.4808263985161,67.0277975630081,106.648449351562,111.481454846779,112.698108042718,113.908476381412,111.04053013416,0.173585377464192,0.158378606025943,0.230679665327802,0.346721354696929,0.313771720714518,0.200931677103824,0.89221399482803,1.81070362910312,1.6926459695854,1.02101113812577,0.276441832324021,3.06402705009904,4.99673105286164,4.0858130837451,2.29925021199271,0.325162778870722,0.566639058348576,1.05741163535158,0.961081716371817,0.605182969554745,,164.700630708381,113.232266937291,110.946385774974,169.264289169298,,9.22144348174186,5.99085425912354,5.00866091658641,6.4346765561044,,0.0334364043527127,0.0498602424166722,0.0439820076451042,0.0229053406758174,66.0196261401681,115.047912059649,214.692226104791,195.133821359809,122.873698936759
Denmark_1994_STDN94A1a,19.6,37.8932813026923,36.13779452785,1.25186258861093,31.673823717727,25.611400519893,78.3145349618061,61.9226165240332,61.0015165062102,61.5228869961354,67.0784461068195,126.042853779222,99.9702112981526,107.873003228976,118.225360079202,113.370169154981,0.0865429952004571,0.223786318232914,0.283184196874037,0.439371915482431,0.243105966877828,0.0993869596911015,0.855173720817349,1.46797401338775,1.47310868522406,0.859105136119129,0.122916371596277,2.17953872226287,2.30013239183726,1.3482018424009,1.04436031006378,0.097647476267555,0.679944586170127,0.977122694823927,0.879659129218749,0.565757448981646,,193.304294416326,84.2854540798153,57.1499563390283,69.9446891077536,,9.33326697585815,2.34463778336068,1.44352988602477,1.09644994644918,,0.0243110099408244,0.0440192002739977,,0.050660398167734,14.2928921520415,99.5250979438083,143.023760882092,128.757788168867,82.8112564870823
Denmark_1994_STDN94A1b,19.2,63.0994061032252,40.7998051342713,40.9020941134289,42.0973506798843,42.4668222547134,40.1454470536006,67.0678201577251,65.460295242024,67.8267596159288,65.9035737419325,109.34104977514,105.592412751172,105.607956228445,104.310424865956,106.398552638726,0.115354190564608,0.580501692904295,0.521914114031779,0.61630595018543,0.508971878504881,0.26766168805252,3.42714924267078,3.68255488261153,3.49520503741442,2.53051879105314,0.771408234248552,7.12781762300206,8.44390330870628,7.02112061917435,4.1390733410984,0.350801609752563,0.868167350617746,0.950145114724227,0.874463418372486,0.6110322734776,,104.96091958501,113.159567819201,106.716803787611,90.2889529081023,,8.2968793578236,10.6425411192524,8.48907268034996,4.46303197611864,,0.0435631065187459,0.0411361526553746,0.0387974201766735,0.0453371532175462,144.294177358346,357.1006807954,390.820349418827,359.69042352179,251.334078264463
Denmark_1994_STDN94B7a,19.8,32.8785048651697,35.5366789511076,29.3700025328558,35.4645403324403,36.5404783139454,68.7521354620612,72.0882114236633,61.9742293457319,70.7318332945605,67.5596603478225,104.941919390244,105.507843042419,99.2453521870754,110.971509920661,101.800397423173,0.231969243026338,1.06887181066503,1.27644929355375,1.96845627643653,1.2783013286322,0.638945849396821,4.3969607458688,6.81024588418434,6.58401582676195,4.44223035645604,1.34816887009858,10.0733928611851,13.8305452504922,7.83068599713252,9.20774298558052,0.257581575283244,0.717136784848863,1.01371042790675,0.872754168378894,0.70293918041124,174.108480300132,105.858422186512,99.7338324532186,69.7937985526579,106.054318284897,3.9408439055476,11.8176435938988,15.313819024504,8.20742410979665,11.3160079769834,0.0211171547412496,0.0453580382336901,0.0485678155656994,0.0561003201979949,0.038717512677486,182.197917827925,507.259996580101,717.038588811984,617.334497156562,497.217453887228
Denmark_1994_STDN94B9a,20.7,44.8049888162168,,22.91870511652,36.4987526544291,38.4925304263428,75.0744094820352,71.4340949110815,70.007244508555,72.1991861159166,71.1963972165622,,109.39132365306,109.029996741566,112.400532214887,108.597173100027,0.0377944670019518,0.106576644468688,0.242674775441149,0.429473338221811,0.464324358833059,0.0999742244709252,0.878777574129373,2.14655184118551,2.18302191717684,1.63785105110447,0.139783708549686,3.37582232410658,4.30343850160309,4.02083391887779,3.12819637031873,0.0675686148510437,0.533090697632097,0.94531783131091,0.980442779141108,0.769570657096805,,156.123401642001,103.946799138979,100.659250457298,113.591107906322,,8.74137420922165,4.91344287884899,4.66027476834047,4.30353505563141,,0.0370710705349376,0.0441824386456164,0.0386684613263375,0.0314787966917333,15.1680872655346,119.670445220078,212.208928518065,220.093924755746,172.756462590987
Denmark_1994_STDN94C2a,20.4,33.8835185645742,36.6247385862971,29.2141393980206,31.6853943236206,32.7630056939568,69.6617361499402,69.4153749606036,70.2567554022695,69.6292860862603,69.4877139127654,107.919687383978,108.557518061662,104.795717634022,106.148921313356,104.709232312706,0.438887230908778,0.959082013689839,2.26201899226153,3.34528844400436,1.8929226314404,0.856519857584217,4.30249610245555,8.69262533885924,8.88724335964636,6.28695677879271,1.23861319081806,8.78111803793712,11.0350715593913,10.7700103927097,8.12883092878539,0.27633665681056,0.55777093498946,0.967441953437725,1.04604519105901,0.727325048951353,110.110365696708,103.834553549999,69.0367061576117,61.965231570895,70.8187812493843,1.90031739424188,10.3235639103412,10.720705323102,10.5893774099957,8.21044591481302,0.0182776420694664,0.0426650954398217,0.0626101092254466,0.0577570286014373,0.0525727542306116,229.741660857748,463.721398607297,804.315011014324,869.664424184256,604.685844643762
Denmark_1994_STDN94Dw11,19.5,23.6340902220328,36.1171241238678,35.774064862101,36.7155895534455,38.9362416958313,78.3496232231197,66.3863542960558,67.0443209463603,62.925385107213,66.6147286192015,105.769249304183,107.333181427003,107.571846200842,109.163744021984,110.459547549096,0.0934269067535945,0.274328537983253,0.322952501531732,0.546863925043249,0.438312785038972,0.143122739256517,0.930537089007289,1.33655527635419,0.956141304097471,0.7925597861682,0.19181977870666,1.84795914072958,2.41449625933111,0.929698041419345,1.08043526346225,0.136679401632119,0.771573845939204,1.05301389566453,0.726919748753447,0.652826255297921,,108.387527917301,95.5357304797181,42.2875888215407,68.6862251019031,,2.38129063035914,2.70807366006461,0.950245126794862,1.14795613259358,,0.0347958369674952,0.0420133219347161,0.0647918293749299,0.032013536996478,18.1350066233225,102.374583436878,139.71683914542,96.4497524926965,86.6188198246001
